25,25
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-
-,-,-,-,-,x,x,x,-,-,-,x,x,x,-,-,-,-,-,-,x,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,-,-,x,x,x,-,-,-,x,x,x,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,x,x,x,-,-,-,x,x,x,-,-,-,-,-,-,-,-,-,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,x,-,-,-,-,x,-,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,x,x,x,-,-,-,x,x,x,-,-,-,-,x,x,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,-,-,-
-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,x,x,-,x,-,x,-,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,x,x,-,x,-,x,-,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,82
1,100
2,74
3,84
4,98
5,76
6,82
7,100
8,74
9,84
10,98
11,76
12,82
13,100
14,74
15,84
16,98
17,76
18,82
19,100
20,74
21,84
22,98
23,76
24,82
25,100
26,74
27,84
28,98
29,76
30,82
31,100
32,74
33,84
34,98
35,76
36,82
37,100
38,74
39,84
40,98
41,76
42,82
43,100
44,74
45,84
46,98
47,76
48,82
49,100
50,74
51,84
52,98
53,76
54,82
55,100
56,74
57,84
58,98
59,76
60,82
61,100
62,74
63,84
64,98
65,76
66,82
67,100
68,74
69,84
70,98
71,76
72,82
73,100
74,74
75,84
76,98
77,76
78,82
79,100
80,74
81,84
82,98
83,76
84,82
85,100
86,74
87,84
88,98
89,76
90,82
91,100
92,74
93,84
94,98
95,76
96,82
97,100
98,74
99,84
100,98
101,76
102,82
103,100
104,74
105,84
106,98
107,76
108,82
109,100
110,74
111,84
112,98
113,76
114,82
115,100
116,74
117,84
118,98
119,76
120,82
121,100
122,74
123,84
124,98
125,76
126,82
127,100
128,74
129,84
130,98
131,76
132,82
133,100
134,74
135,84
136,98
137,76
138,82
139,100
140,74
141,84
142,98
143,76
144,82
